playerID,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgRatio,ftRatio,threeRatio,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ
walkede01w,2,0,POR,WNBA,21,0,297,113,29,29,58,10,7,12,35,51,0.44,0.57,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walkede01w,3,0,POR,WNBA,31,29,848,339,55,99,154,51,26,33,90,97,0.48,0.62,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walkede01w,4,0,SAC,WNBA,34,21,740,307,61,88,149,47,25,23,69,95,0.46,0.58,0.13,0,6,6,170,59,14,13,27,10,1,3,21,17,55,24,20,11,0,0,0
walkede01w,5,0,SAC,WNBA,34,34,884,284,72,71,143,86,26,13,86,109,0.42,0.6,0.0,1,6,6,173,71,11,9,20,14,6,8,18,12,54,30,17,11,0,0,0
walkede01w,6,0,SAC,WNBA,22,19,598,311,47,70,117,48,28,13,69,66,0.53,0.65,1.0,1,6,0,165,61,7,11,18,21,3,0,17,19,52,26,12,9,0,0,0
walkede01w,7,0,SAC,WNBA,23,8,438,213,55,37,92,32,15,7,36,53,0.44,0.65,0.0,1,9,9,220,95,22,15,37,23,6,5,20,24,93,41,23,13,0,0,0
walkede01w,8,0,SAC,WNBA,5,5,105,44,17,8,25,6,3,3,15,11,0.4,0.71,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walkede01w,9,0,SAC,WNBA,7,0,52,11,4,2,6,1,5,0,10,10,0.45,0.5,0.0,0,3,0,47,20,4,10,14,1,2,0,6,8,16,8,5,4,0,0,0
walkede01w,10,0,SAC,WNBA,34,30,821,291,54,103,157,65,27,16,92,112,0.48,0.73,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walkema01w,9,0,HOU,WNBA,2,0,11,0,5,2,7,1,0,1,4,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walsema01w,2,0,SAC,WNBA,4,0,8,4,2,0,2,0,0,0,2,2,0.5,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walsema01w,3,0,WAS,WNBA,18,0,104,13,7,14,21,7,2,0,9,8,0.24,0.0,0.14,0,1,0,7,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0
washico01w,1,0,HOU,WNBA,25,0,236,43,3,16,19,24,16,0,19,19,0.36,0.8,0.2,0,6,0,92,14,4,7,11,6,5,1,8,4,9,3,6,5,7,3,0
washico01w,2,0,HOU,WNBA,32,32,1013,169,20,98,118,122,69,9,57,63,0.36,0.64,0.36,1,2,2,74,7,2,7,9,5,2,0,2,5,17,3,0,0,10,1,0
washico01w,3,1,HOU,WNBA,21,15,349,44,7,34,41,31,13,0,20,38,0.34,1.0,0.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washico01w,3,2,IND,WNBA,11,8,325,80,7,26,33,48,23,2,24,22,0.37,0.7,0.45,0,3,3,110,25,1,5,6,14,3,0,6,10,27,9,1,1,16,6,0
washico01w,4,0,IND,WNBA,20,10,348,63,2,27,29,48,14,2,30,32,0.28,0.85,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washito01w,1,0,WAS,WNBA,19,0,103,26,6,8,14,5,2,0,4,4,0.28,0.67,0.43,0,1,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
washito01w,2,0,WAS,WNBA,30,2,336,101,19,24,43,10,4,2,14,5,0.36,0.82,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washito01w,3,0,WAS,WNBA,25,0,291,73,27,11,38,15,3,2,16,6,0.33,0.85,0.33,0,4,0,52,20,1,2,3,2,3,0,1,4,14,7,5,4,5,2,0
washito01w,4,2,SEA,WNBA,11,0,121,33,7,4,11,5,4,0,5,8,0.39,1.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washito01w,4,1,WAS,WNBA,13,0,101,20,5,5,10,3,1,0,5,4,0.23,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wautean01w,1,0,CLE,WNBA,32,0,598,199,47,82,129,37,21,24,63,75,0.52,0.74,0.0,0,6,0,107,28,5,13,18,5,3,3,8,7,27,13,6,2,2,0,0
wautean01w,2,0,CLE,WNBA,24,14,622,234,35,79,114,35,17,13,50,55,0.57,0.8,0.0,0,3,3,86,34,6,4,10,2,2,3,4,10,19,13,9,8,0,0,0
wautean01w,3,0,CLE,WNBA,28,25,802,314,45,95,140,39,16,21,59,74,0.55,0.85,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
